object_name,object_id,norad_id,object_type,ops_status,owner,launch_date,launch_site,decay_date,period_minutes,inclination_degrees,apogee_km,perigee_km,rcs,data_status,orbit_center,orbit_type,orbit_class,users,purpose,source,category
STARLINK-5721,2023-020BA,55617,PAY,+,US,2023-02-12,AFETR,,95.84,43.0,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5717,2023-020BB,55618,PAY,+,US,2023-02-12,AFETR,,95.84,43.0,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5720,2023-020BC,55619,PAY,+,US,2023-02-12,AFETR,,95.84,43.0,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5718,2023-020BD,55620,PAY,+,US,2023-02-12,AFETR,,95.84,43.0,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5709,2023-020BE,55621,PAY,+,US,2023-02-12,AFETR,,95.84,43.0,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5702,2023-020BF,55622,PAY,+,US,2023-02-12,AFETR,,95.84,43.01,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5698,2023-020BG,55623,PAY,+,US,2023-02-12,AFETR,,95.84,43.01,560.0,558.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5484,2023-021A,55628,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5497,2023-021B,55629,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5303,2023-021C,55630,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5558,2023-021D,55631,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5546,2023-021E,55632,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5498,2023-021F,55633,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5500,2023-021G,55634,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5495,2023-021H,55635,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5218,2023-021J,55636,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5062,2023-021K,55637,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5507,2023-021L,55638,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5508,2023-021M,55639,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5069,2023-021N,55640,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5065,2023-021P,55641,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5483,2023-021R,55643,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5502,2023-021S,55644,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5510,2023-021V,55647,PAY,+,US,2023-02-17,AFWTR,,96.1,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5501,2023-021W,55648,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5469,2023-021X,55649,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5494,2023-021Y,55650,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5506,2023-021Z,55651,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5487,2023-021AA,55652,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5067,2023-021AB,55653,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5070,2023-021AC,55654,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5267,2023-021AD,55655,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5328,2023-021AF,55657,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5307,2023-021AG,55658,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5477,2023-021AH,55659,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,575.0,569.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5467,2023-021AJ,55660,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5475,2023-021AK,55661,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5479,2023-021AL,55662,PAY,+,US,2023-02-17,AFWTR,,96.16,70.0,577.0,573.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5473,2023-021AM,55663,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5480,2023-021AN,55664,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,571.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5474,2023-021AP,55665,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5456,2023-021AR,55667,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5455,2023-021AS,55668,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5459,2023-021AT,55669,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5423,2023-021AU,55670,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5460,2023-021AV,55671,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5463,2023-021AX,55673,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5462,2023-021AY,55674,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5232,2023-021AZ,55675,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5300,2023-021BA,55676,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5324,2023-021BB,55677,PAY,+,US,2023-02-17,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
INMARSAT 6-F2,2023-022A,55683,PAY,-,IM,2023-02-18,AFETR,,1426.41,5.13,48496.0,22698.0,,,EA,ORB,GEO,Commercial,Communications,both,Active Satellite
FALCON 9 R/B,2023-022B,55684,R/B,,US,2023-02-18,AFETR,,614.65,26.96,34920.0,217.0,,,EA,ORB,MEO,,,left_only,Rocket Body
ZHONGXING-26,2023-023A,55686,PAY,+,PRC,2023-02-23,XICLF,,1436.26,0.07,35792.0,35787.0,,,EA,ORB,GEO,Commercial,Communications,both,Active Satellite
CZ-3B R/B,2023-023B,55687,R/B,,PRC,2023-02-23,XICLF,,445.63,27.41,25731.0,164.0,,,EA,ORB,MEO,,,left_only,Rocket Body
HORUS 1,2023-025A,55690,PAY,+,EGYP,2023-02-24,JSC,,94.52,97.36,496.0,494.0,,,EA,ORB,LEO,Government,Earth Observation,both,Active Satellite
CZ-2C R/B,2023-025B,55691,R/B,,PRC,2023-02-24,JSC,,90.5,97.53,306.0,292.0,,,EA,ORB,LEO,,,left_only,Rocket Body
SHIYAN-20A DEB,2022-169E,55716,DEB,,PRC,2022-12-12,JSC,,100.52,60.0,797.0,769.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AD,55717,DEB,,CIS,2014-05-23,PLMSC,,111.89,82.37,1478.0,1149.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AE,55718,DEB,,CIS,2014-05-23,PLMSC,,112.24,82.38,1491.0,1168.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AF,55719,DEB,,CIS,2014-05-23,PLMSC,,111.4,82.4,1487.0,1095.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AG,55720,DEB,,CIS,2014-05-23,PLMSC,,112.54,82.52,1477.0,1210.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AH,55721,DEB,,CIS,2014-05-23,PLMSC,,112.2,82.94,1505.0,1151.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AJ,55722,DEB,,CIS,2014-05-23,PLMSC,,112.39,82.36,1476.0,1197.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AK,55723,DEB,,CIS,2014-05-23,PLMSC,,112.63,82.57,1534.0,1161.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AL,55724,DEB,,CIS,2014-05-23,PLMSC,,100.72,81.8,872.0,714.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AM,55725,DEB,,CIS,2014-05-23,PLMSC,,109.76,82.29,1429.0,1003.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AN,55726,DEB,,CIS,2014-05-23,PLMSC,,112.26,82.32,1489.0,1172.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AP,55727,DEB,,CIS,2014-05-23,PLMSC,,112.54,82.24,1492.0,1195.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AQ,55728,DEB,,CIS,2014-05-23,PLMSC,,112.27,82.35,1478.0,1184.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AR,55729,DEB,,CIS,2014-05-23,PLMSC,,112.2,82.46,1508.0,1148.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AS,55730,DEB,,CIS,2014-05-23,PLMSC,,111.28,82.15,1471.0,1100.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AT,55731,DEB,,CIS,2014-05-23,PLMSC,,109.93,82.44,1323.0,1124.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AU,55732,DEB,,CIS,2014-05-23,PLMSC,,111.77,82.32,1486.0,1130.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AV,55733,DEB,,CIS,2014-05-23,PLMSC,,108.95,82.24,1410.0,947.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AX,55735,DEB,,CIS,2014-05-23,PLMSC,,111.83,82.42,1434.0,1188.0,,,EA,ORB,LEO,,,left_only,Debris
COSMOS 2499 DEB,2014-028AY,55736,DEB,,CIS,2014-05-23,PLMSC,,111.08,82.36,1469.0,1084.0,,,EA,ORB,LEO,,,left_only,Debris
STARLINK-5592,2023-028A,55741,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5594,2023-028B,55742,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5602,2023-028C,55743,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5601,2023-028D,55744,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5579,2023-028F,55746,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5539,2023-028G,55747,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5580,2023-028H,55748,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5573,2023-028K,55750,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5577,2023-028L,55751,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5613,2023-028M,55752,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5617,2023-028N,55753,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5612,2023-028P,55754,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5619,2023-028Q,55755,PAY,P,US,2023-03-03,AFWTR,,91.68,70.0,359.0,355.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5614,2023-028R,55756,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5544,2023-028S,55757,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5072,2023-028T,55758,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5532,2023-028V,55760,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5611,2023-028W,55761,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,575.0,569.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5603,2023-028X,55762,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5593,2023-028Y,55763,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5499,2023-028Z,55764,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5595,2023-028AA,55765,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5599,2023-028AB,55766,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5606,2023-028AC,55767,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5584,2023-028AE,55769,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5557,2023-028AF,55770,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5591,2023-028AG,55771,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5835,2023-028AH,55772,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5833,2023-028AJ,55773,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5812,2023-028AK,55774,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5809,2023-028AL,55775,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5814,2023-028AN,55777,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5816,2023-028AP,55778,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5817,2023-028AQ,55779,PAY,+,US,2023-03-03,AFWTR,,96.1,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5819,2023-028AR,55780,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5820,2023-028AS,55781,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5826,2023-028AT,55782,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5825,2023-028AU,55783,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5797,2023-028AV,55784,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5818,2023-028AW,55785,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5823,2023-028AX,55786,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,571.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5811,2023-028AY,55787,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5804,2023-028AZ,55788,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5815,2023-028BA,55789,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5813,2023-028BB,55790,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
STARLINK-5807,2023-028BC,55791,PAY,+,US,2023-03-03,AFWTR,,96.11,70.0,574.0,570.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0530,2023-029A,55796,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
ONEWEB-0534,2023-029B,55797,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
ONEWEB-0556,2023-029C,55798,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1184.0,1180.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
ONEWEB-0562,2023-029D,55799,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1184.0,1180.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
ONEWEB-0563,2023-029E,55800,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
ONEWEB-0564,2023-029F,55801,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0638,2023-029G,55802,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0639,2023-029H,55803,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0640,2023-029J,55804,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0641,2023-029K,55805,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0642,2023-029L,55806,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0643,2023-029M,55807,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1205.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0644,2023-029N,55808,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0645,2023-029P,55809,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0646,2023-029Q,55810,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0648,2023-029R,55811,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1205.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0649,2023-029S,55812,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0650,2023-029T,55813,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0652,2023-029U,55814,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0653,2023-029V,55815,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0654,2023-029W,55816,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0656,2023-029X,55817,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0657,2023-029Y,55818,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1184.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0658,2023-029Z,55819,PAY,+,UK,2023-03-09,AFETR,,109.11,87.92,1187.0,1185.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0660,2023-029AA,55820,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0661,2023-029AB,55821,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0662,2023-029AC,55822,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0663,2023-029AD,55823,PAY,+,UK,2023-03-09,AFETR,,109.02,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0664,2023-029AE,55824,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0665,2023-029AF,55825,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0666,2023-029AG,55826,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0667,2023-029AH,55827,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1183.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0669,2023-029AJ,55828,PAY,+,UK,2023-03-09,AFETR,,109.03,87.92,1184.0,1180.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
ONEWEB-0670,2023-029AK,55829,PAY,+,UK,2023-03-09,AFETR,,109.55,87.9,1207.0,1204.0,,,EA,ORB,LEO,Commercial,Communications,both,Active Satellite
